Spcm;pH
C1_1;8.2
C1_10;8.2
C1_11;8.2
C1_12;8.2
C1_13;8.2
C1_14;8.2
C1_15;8.2
C1_16;8.2
C1_17;8.2
C1_18;8.2
C1_19;8.2
C1_2;8.2
C1_20;8.2
C1_3;8.2
C1_4;8.2
C1_5;8.2
C1_6;8.2
C1_7;8.2
C1_8;8.2
C1_9;8.2
C2_1;8.2
C2_10;8.2
C2_11;8.2
C2_12;8.2
C2_13;8.2
C2_14;8.2
C2_15;8.2
C2_16;8.2
C2_17;8.2
C2_18;8.2
C2_2;8.2
C2_20;8.2
C2_3;8.2
C2_4;8.2
C2_5;8.2
C2_6;8.2
C2_7;8.2
C2_8;8.2
C2_9;8.2
T1_10;7.8
T1_11;7.8
T1_12;7.8
T1_13;7.8
T1_14;7.8
T1_15;7.8
T1_16;7.8
T1_17;7.8
T1_18;7.8
T1_19;7.8
T1_2;7.8
T1_20;7.8
T1_3;7.8
T1_4;7.8
T1_5;7.8
T1_6;7.8
T1_7;7.8
T1_8;7.8
T1_9;7.8
T2_13;7.8
T2_14;7.8
T2_15;7.8
T2_16;7.8
T2_17;7.8
T2_18;7.8
T2_19;7.8
T2_20;7.8
T2_4;7.8
T2_5;7.8
T2_8;7.8
T2_9;7.8
V1_1;7.5
V1_10;7.5
V1_11;7.5
V1_12;7.5
V1_13;7.5
V1_14;7.5
V1_15;7.5
V1_17;7.5
V1_19;7.5
V1_2;7.5
V1_20;7.5
V1_3;7.5
V1_5;7.5
V1_6;7.5
V1_7;7.5
V1_8;7.5
V1_9;7.5
V2_1;7.5
V2_10;7.5
V2_4;7.5
V2_5;7.5
V2_6;7.5
V2_7;7.5
V2_8;7.5
V2_9;7.5
